id,interest,year,pid,gender,activity,pride,routine,outoftouch,fbcommunity,shutdown,friends,time,trust,job,loan,advice,notimportant,connected,spendtime,newthings,community,newpeople,group,motives,dontshare,depend,dontunderstand,alone,cares,support,romantic,needromance,agreeable,conscientious,extraverted,neurotic,open,facebook,linkedin,degree,cluster,effective,constraint,hierarchy,betweenness,isolates,fdegree,mdegree,odegree,pisolates
Wildcat218,4,4,4,0,,,,,,,,,2,3,4,5,2,3,3,4,4,3,4,4,3,5,2,1,5,5,5,2,55,80,70,16,75,0,1,4,-16.67,6,25,0,6,,,,,
Wildcat219,3,4,3,0,,,,,,,,,2,4,4,2,3,3,3,4,4,3,4,3,2,4,3,5,3,3,1,5,92,73,69,54,77,0,1,272,6.92,197,1.4299999,0.41999999,28427.199,,,,,
Wildcat220,4,4,4,0,,,,,,,,,3,4,4,4,1,5,4,4,4,5,4,2,4,2,3,1,5,5,1,5,,,,,,0,1,160,0.2185,21.1,2.45,0.71,6025.6,,,,,
Wildcat221,5,4,6,0,,,,,,,,,3,3,2,3,2,4,3,4,4,3,5,5,1,4,2,2,2,2,1,4,62,50,50,33,46,0,1,189,0.56,167.2,1.45,0.34,1324.5,,,,,
Wildcat222,2,4,4,0,,,,,,,,,4,5,2,5,2,5,4,4,4,4,3,4,1,5,1,1,5,5,5,2,,,,,,0,1,9,0.0069,8.8,17.28,1.23,33.5,,,,,
Wildcat223,4,4,5,0,,,,,,,,,4,4,5,4,1,3,3,3,4,5,,,,,,,,,,,48,42,47,42,45,0,1,30,14.08,13.7,9.9700003,2.3900001,357,,,,,
Wildcat224,3,4,6,0,,,,,,,,,4,4,2,4,4,4,2,4,2,2,,,,,,,,,,,62,52,25,58,58,0,1,52,13.07,25.299999,6.5799999,1.84,1042.5,,,,,
Wildcat225,2,4,6,0,,,,,,,,,4,4,4,5,2,5,4,4,5,5,,,,,,,,,,,73,46,92,38,96,0,1,63,25.31,0.2,6.0700002,1.8099999,1048.4,,,,,
Wildcat226,4,4,1,1,,,,,,,,,5,5,5,5,1,5,5,5,5,5,5,5,1,5,1,1,5,5,1,4,,,,,,0,1,21,0.0762,14.9,8.85,1.25,190,,,,,
Wildcat227,6,4,3,0,,,,,,,,,5,4,3,5,4,5,4,4,4,4,,,,,,,,,,,,,,,,0,1,1,,,,,,,,,,
Wildcat228,5,4,1,0,,,,,,,,,5,4,3,5,1,4,3,4,3,5,,,,,,,,,,,,,,,,0,1,15,0.2847,-0.1,26.76,4.66,23.8,,,,,
Wildcat229,5,4,6,0,,,,,,,,,,,,,,,,,,,1,3,1,4,1,1,5,5,1,3,,,,,,0,1,8,0.9107,-17.5,43.31,9.88,1.8,,,,,
Wildcat230,7,4,1,1,,,,,,,,,,,,,,,,,,,4,4,2,4,2,3,5,4,1,4,,,,,,0,1,166,0.0542,130.2,2.01,0.55,11968.7,,,,,
Wildcat231,5,4,4,1,,,,,,,,,,,,,,,,,,,4,5,1,5,1,1,5,5,4,2,,,,,,0,1,207,-0.0024,209,0.48,0,21321,,,,,
Wildcat232,6,4,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,4,,3.5,,3.13,5,,,,,
Wildcat233,5,4,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,9,-0.0625,11,11.11,0,36,,,,,
Wildcat234,4,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,20,-0.0263,22,5,0,190,,,,,
Wildcat235,5,4,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,23,0.4022,-12.4,13.49,2.98,136.6,,,,,
Wildcat236,6,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,76,0.1442,32.7,4.92,1.45,1957.2,,,,,
Wildcat237,5,4,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,192,0.2364,11.4,2.08,0.59,18.72,,,,,
Wildcat238,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,340,-0.0015,342,0.29,0,57630,,,,,
Wildcat239,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,408,,410,0.25,0,83028,,,,,
Wildcat240,,,,,1,2,1,1,1,1,5,1,4,4,4,4,2,4,4,4,4,5,,,,,,,,,,,,,,,,0,1,13,-2.56,14.2,9.17,0.3,77,,,,,
Wildcat241,,,,,5,4,4,2,1,5,5,1,4,2,3,5,4,4,4,5,5,3,2,4,1,4,4,2,5,5,5,1,,,,,,0,1,15,9.52,9.7,14.46,2.57,91.3,,,,,
Wildcat242,,,,,1,3,1,1,2,1,4,1,1,4,1,4,2,5,3,4,4,5,2,1,3,4,2,2,4,2,1,2,,,,,,0,1,5,0,5,30,2,9,,,,,
Wildcat243,,,,,1,3,2,2,3,1,1,1,2,2,5,5,2,4,4,4,4,4,2,4,2,4,2,1,5,5,1,5,,,,,,0,1,22,0.3658,-8.7,14.41,3.52,127.7,,,,,
Wildcat244,,,,,2,3,2,1,2,1,5,1,4,3,5,5,2,3,2,5,3,3,,,,,,,,,,,,,,,,0,1,8,0.1518,3.8,28.65,3.65,21.5,,,,,
Wildcat245,,,,,2,5,2,3,3,4,5,1,5,5,5,5,1,5,4,3,3,5,,,,,,,,,,,,,,,,0,1,124,12.35,63.299999,2.76,0.70999998,5589.8999,,,,,
Wildcat246,,,,,5,1,5,4,3,5,4,3,,,,,,,,,,,3,5,2,5,4,4,5,3,3,3,,,,,,0,1,6,-0.1,8,16.67,0,15,,,,,
Wildcat247,,,,,,,,,,,,,3,4,4,5,1,5,4,5,4,5,4,3,2,5,1,3,4,4,1,4,,,,,,0,1,47,39.5,-25.700001,7,1.65,560.09998,,,,,
